01	5.92	6	hands opening mail envelope
02	3.59	6	utility bill on kitchen table
03	5.76	6	close up printed invoice text
04	3.10	6	finger tracing document lines
05	5.46	6	air conditioner unit summer heat
06	6.57	12	worried woman reading paperwork
07	5.00	6	stack of paper documents desk
08	6.17	12	empty kitchen table morning light
09	8.04	12	old handwritten ledger book
10	4.33	6	vintage 1930s account book pages
11	5.07	6	antique electric meter dial
12	7.72	12	woman putting on coat doorway
13	5.55	6	grandmother and child walking together
14	3.91	6	elderly woman reading calmly
15	7.61	12	man talking to camera kitchen
16	3.45	6	checklist being marked off
17	3.89	6	hand crossing out list items
18	7.31	12	frustrated person on phone call
19	4.27	6	sorting papers into piles
20	7.72	12	family around dining table talking
21	10.10	12	courthouse regulatory building exterior
22	3.87	6	person listening attentively
23	6.12	12	paper bill envelope mailbox
24	4.05	6	magnifying glass over invoice
25	4.07	6	laptop email inbox screen
26	3.57	6	hand tapping smartphone quickly
27	7.13	12	coins stacked on table
28	5.91	6	close up envelope stamp
29	3.14	6	smart electricity meter house wall
30	7.40	12	electric meter box outdoor
31	5.58	6	utility worker reading meter
32	8.20	12	checkbox on printed form
33	5.91	6	old analog utility meter
34	4.33	6	person dialing landline phone
35	3.65	6	wall calendar pages turning
36	5.29	6	overdue notice red stamp
37	6.31	12	customer service representative headset
38	3.13	6	two people talking calmly phone
39	3.79	6	circling date on calendar
40	6.65	12	paycheck direct deposit bank app
41	4.97	6	person counting money worried
42	3.99	6	calendar date circled red
43	4.10	6	signing account paperwork
44	3.06	6	cash bills counted hand
45	4.62	6	twelve month calendar wall
46	3.84	6	bank vault safe deposit
47	3.63	6	hand reaching out receiving money
48	3.09	6	unopened refund check envelope
49	6.64	12	suburban house front porch
50	4.69	6	ledger column handwritten numbers
51	4.47	6	fountain pen writing ledger
52	4.51	6	closing old book slowly
53	3.87	6	water heater basement utility
54	3.99	6	invoice line item close up
55	6.46	12	home water heater tank
56	4.85	6	signing contract clipboard
57	6.95	12	old rusty water heater basement
58	6.54	12	reading fine print contract
59	3.58	6	person making phone call kitchen
60	3.24	6	power lines over city street
61	4.70	6	man shrugging honest gesture
62	4.45	6	utility poles wires neighborhood
63	3.03	6	electricity transmission tower
64	7.48	12	percentage calculation calculator
65	4.37	6	shrinking stack of coins
66	3.72	6	government tax office building
67	7.38	12	tax form paperwork desk
68	4.79	6	person hanging up phone frustrated
69	6.79	12	angry customer on telephone
70	3.62	6	walking away from clutter
71	3.10	6	energy efficiency light bulb
72	6.07	12	utility bill small print rider
73	6.31	12	different bill formats comparison
74	5.82	6	home insulation installation attic
75	7.28	12	worker installing weather stripping
76	3.70	6	led light bulb replacement
77	4.58	6	person on phone taking notes
78	3.93	6	storm damaged power lines
79	8.71	12	utility crew repairing power line storm
80	3.65	6	lightning storm over houses
81	5.03	6	calendar end date circled
82	8.39	12	person sleeping peacefully night
83	3.27	6	power plant smokestacks
84	4.50	6	fuel gauge industrial dial
85	7.05	12	electricity generation turbine
86	5.98	6	rising line graph chart
87	4.79	6	clock on kitchen wall
88	4.64	6	monthly bill statement close up
89	5.33	6	empty dark house interior
90	3.72	6	light switch turned off
91	3.75	6	person surprised reading document
92	4.76	6	filing cabinet folders rows
93	5.86	6	row of mailboxes apartment
94	7.30	12	dusty old file folder archive
95	3.77	6	highlighting text on document
96	3.72	6	hand writing notes notepad
97	4.63	6	pen and notepad ready
98	3.56	6	customer service phone conversation
99	3.92	6	spreadsheet data on monitor
100	4.11	6	office worker at computer screen
101	6.56	12	home medical equipment oxygen
102	6.62	12	modest family home kitchen
103	6.30	12	clock and calendar together
104	3.46	6	counting dollar bills hand
105	3.22	6	phone call quick simple
106	9.45	12	evening city lights houses
107	5.38	6	electric meter spinning fast
108	3.72	6	dishwasher loading kitchen night
109	3.20	6	laundry machine morning light
110	6.58	12	family cooking dinner kitchen
111	5.77	6	vintage laundry hanging line
112	8.51	12	old washing machine 1930s
113	3.56	6	electricity bill supply section
114	7.90	12	reading bill under lamp light
115	7.03	12	salesperson knocking on door
116	9.64	12	power lines into house
117	4.81	6	man speaking sincerely camera
118	9.19	12	government report document official
119	10.68	12	state capitol building exterior
120	7.26	12	rising costs graph upward
121	4.50	6	stopwatch counting seconds
122	3.34	6	electricity rate printed bill
123	3.86	6	utility website on laptop
124	8.35	12	comparing two documents side by side
125	7.65	12	surprised person looking at bill
126	5.11	6	honest conversation face to face
127	3.03	6	person shaking head no
128	5.19	6	three items on a list
129	7.09	12	tidy organized paperwork desk
130	5.37	6	power plant at dusk
131	4.93	6	sincere man talking camera
132	3.58	6	many houses neighborhood aerial
133	4.68	6	list of questions notepad
134	4.63	6	person asking question phone
135	4.41	6	phone call notes writing
136	4.94	6	checking boxes on list
137	3.40	6	hand receiving refund money
138	3.28	6	clock twelve minutes timer
139	3.83	6	reading from paper calmly
140	4.59	6	friendly phone conversation home
141	3.28	6	single task focused hand
142	5.34	6	turning over paper bill
143	8.36	12	morning sunrise kitchen window
144	6.01	12	typing comment on phone
145	4.08	6	person reading messages smiling
